Lista;Circoscrizione;Numero Candidato;Candidato
PARTITO REPUBBLICANO ITALIANO - ALA;EUROPA;3;BORGHI DELLA MIRANDOLA ADA PATRIZIA 
PARTITO REPUBBLICANO ITALIANO - ALA;EUROPA;4;FOLICALDI MONICA 
PARTITO REPUBBLICANO ITALIANO - ALA;EUROPA;5;GIUSTI FRANCESCO 
PARTITO REPUBBLICANO ITALIANO - ALA;EUROPA;6;SABBADINI PAOLO 
UNITAL;AMERICA MERIDIONALE;1;ROTUNDO FRANCESCO 
UNITAL;AMERICA MERIDIONALE;2;MORELLO ANTONIO 
UNITAL;AMERICA MERIDIONALE;3;TADDONE NEVES DANIEL 
UNITAL;AMERICA MERIDIONALE;4;CANTARELLI FABIO MASSIMO 
UNITAL;AMERICA MERIDIONALE;5;CURELLI CLAUDIO BENVENUTO 
UNITAL;AMERICA MERIDIONALE;6;ROLDI THIAGO VICENTE 
UNITAL;AMERICA MERIDIONALE;7;SCHIFANI WOLF LEONARDO LUIS LEOPOLDO DETTO SCHIFANI LEONARDO
UNITAL;AMERICA MERIDIONALE;8;DI MARTINO VINCENZO 
USEI;AMERICA MERIDIONALE;1;SANGREGORIO EUGENIO 
USEI;AMERICA MERIDIONALE;2;BUSSO HORACIO FABIAN 
USEI;AMERICA MERIDIONALE;3;NOVELLO DINO GAETANO 
USEI;AMERICA MERIDIONALE;4;CASINI STEFANO MARCELLO 
USEI;AMERICA MERIDIONALE;5;OCCHIATO ANTONIO DANIEL 
USEI;AMERICA MERIDIONALE;6;TORTOLANI CLAUDIO RICCARDO 
USEI;AMERICA MERIDIONALE;7;MELIA GIUSEPPE DETTO PINO
USEI;AMERICA MERIDIONALE;8;IUZZOLINO ONOFRIO 
