Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 02;1;MANCINI CLAUDIO 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 02;2;DI GIORGI ROSA MARIA 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 02;3;DE ANGELIS FRANCESCO 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 02;4;PAPARELLO MARIA CIVITA 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 01;1;VAZIO FRANCO 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 01;2;DI GIORGI ROSA MARIA 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 01;3;BASSO LORENZO 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 01;4;AUGELLO ROSARIA 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 02;1;PAITA RAFFAELLA 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 02;2;ROMANO ANDREA 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 02;3;COSTA MARINA 
PARTITO DEMOCRATICO;LIGURIA;LIGURIA - 02;4;CALISI GIOVANNI 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 01;1;POLLASTRINI BARBARA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 01;2;FRAGOMELI GIAN MARIO 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 01;3;VARISCO LAURA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 01;4;PILOTTO ALBERTO 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 02;1;MAURI MATTEO 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 02;2;POLLASTRINI BARBARA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 02;3;LIBRANDI GIANFRANCO 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 02;4;BURASCHI SIMONA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 03;1;FIANO EMANUELE 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 03;2;NOJA LISA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 03;3;SCALFAROTTO IVAN 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 03;4;POTECCHI ALESSIA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 04;1;NOJA LISA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 04;2;PELUFFO VINICIO GIUSEPPE GUIDO 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 04;3;GADDA MARIA CHIARA 
PARTITO DEMOCRATICO;LOMBARDIA 1;LOMBARDIA 1 - 04;4;RAZZANO PAOLO 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 01;1;GADDA MARIA CHIARA 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 01;2;BERNARDO MAURIZIO 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 01;3;CAO MARTINA 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 01;4;PROTO VINCENZO 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 02;1;DEL BARBA MAURO 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 02;2;BRAGA CHIARA 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 02;3;GAFFURI LUCA 
PARTITO DEMOCRATICO;LOMBARDIA 2;LOMBARDIA 2 - 02;4;TENTORI VERONICA 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 01;1;BAZOLI ALFREDO 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 01;2;BERLINGHIERI MARINA 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 01;3;GALPERTI GUIDO 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 01;4;PARENZA LAURA 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 02;1;MARTINA MAURIZIO 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 02;2;CARNEVALI ELENA 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 02;3;SANGA GIOVANNI 
PARTITO DEMOCRATICO;LOMBARDIA 3;LOMBARDIA 3 - 02;4;CIAGA' GRAZIELLA LEYLA 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 01;1;GUERINI LORENZO 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 01;2;GADDA MARIA CHIARA 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 01;3;COLANINNO MATTEO 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 01;4;GROSSI SILVIA 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 02;1;BOSCHI MARIA ELENA 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 02;2;PIZZETTI LUCIANO 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 02;3;BONETTI ELENA 
PARTITO DEMOCRATICO;LOMBARDIA 4;LOMBARDIA 4 - 02;4;TRAZZI ARMANDO 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 01;1;GENTILONI SILVERI PAOLO 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 01;2;MADIA MARIA ANNA 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 01;3;MORGONI MARIO 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 01;4;SORGE MARGHERITA 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 02;1;MORANI ALESSIA 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 02;2;COMI FRANCESCO 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 02;3;SARTINI SABRINA 
PARTITO DEMOCRATICO;MARCHE;MARCHE - 02;4;FANESI CRISTIAN 
PARTITO DEMOCRATICO;MOLISE;MOLISE - 01;1;FANELLI MICAELA 
PARTITO DEMOCRATICO;MOLISE;MOLISE - 01;2;VENEZIALE CARLO 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 01;1;PADOAN PIETRO CARLO 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 01;2;FREGOLENT SILVIA 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 01;3;PORTAS GIACOMO 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 01;4;DI SALVO TERESA MARIA 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 02;1;ANNIBALI LUCIA 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 02;2;GARIGLIO DAVIDE 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 02;3;BONOMO FRANCESCA 
PARTITO DEMOCRATICO;PIEMONTE 1;PIEMONTE 1 - 02;4;MATTIELLO DAVIDE 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 01;1;GRIBAUDO CHIARA 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 01;2;LOSACCO ALBERTO 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 01;3;MOTTA ANGELA 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 01;4;BORRELLI MASSIMO 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 02;1;ANNIBALI LUCIA 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 02;2;BORGHI ENRICO 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 02;3;BIONDELLI FRANCA 
PARTITO DEMOCRATICO;PIEMONTE 2;PIEMONTE 2 - 02;4;LAVAGNO FABIO 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 01;1;LACARRA MARCO 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 01;2;MONGIELLO COLOMBA 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 01;3;PIERGIOVANNI NICOLA 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 01;4;VENTRELLA ROSANNA 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 02;1;BOCCIA FRANCESCO 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 02;2;POVERO PAOLA 
