Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;3;BABINI ULISSE 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;4;VIOLI STEFANIA 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;1;BERTELLI NADIA 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;2;TRIBI ROMANO 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;3;VIOLI STEFANIA 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;4;LANZI ANIO 
NOI CON L'ITALIA - UDC;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;1;URBANI PAOLO 
NOI CON L'ITALIA - UDC;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;2;PANIZZI CARLA 
NOI CON L'ITALIA - UDC;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;3;CARGNELUTTI PARIDE 
NOI CON L'ITALIA - UDC;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;4;MAZZARI LUISA 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 01;1;DELLE FOGLIE DOMENICO 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 01;2;BILOTTI FRANCESCA 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 01;3;MASELLI MASSIMILIANO 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 01;4;DI GIOVANNI NICOLINA LILIANA 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 02;1;BINETTI PAOLA 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 02;2;PERELLI ANTONIO 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 02;3;ANETRINI DANIELA 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 02;4;MASSIMI MASSIMO 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 03;1;SACCONE ANTONIO 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 03;2;BINETTI PAOLA 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 03;3;TIERO ENRICO 
NOI CON L'ITALIA - UDC;LAZIO;LAZIO - 03;4;PALAZZI EDY 
NOI CON L'ITALIA - UDC;LIGURIA;LIGURIA - 01;1;MUSCATELLO SALVATORE 
NOI CON L'ITALIA - UDC;LIGURIA;LIGURIA - 01;2;SOMMARIVA ENRICA 
NOI CON L'ITALIA - UDC;LIGURIA;LIGURIA - 01;3;PIZZORNO ROBERTO 
NOI CON L'ITALIA - UDC;LIGURIA;LIGURIA - 01;4;GAGGERO LAURA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 01;1;VICARI SIMONA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 01;2;SPAGGIARI PIERGIORGIO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 01;3;GERMONTANI MARIA IDA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 01;4;VASSALLO FRANCO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 02;1;FORMIGONI ROBERTO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 02;2;RAZZI SILVIA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 02;3;PEZZOTTI SAMUELE 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 02;4;SUDATI LUISA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 03;1;SALIGARI ANNAMARIA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 03;2;ALIPRANDI PAOLO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 03;3;PADALINO MARIANGELA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 03;4;PORTA GIANCARLO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 04;1;FORMIGONI ROBERTO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 04;2;PADALINO MARIANGELA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 04;3;BOMBONATI MASSIMILIANO ALESSANDRO MARCO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 04;4;BONACCORSI STEFANIA 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 05;1;FORMIGONI ROBERTO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 05;2;PANZERI ROSA DETTA ROSSELLA
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 05;3;VISENTIN RICCARDO MARIO PIERO 
NOI CON L'ITALIA - UDC;LOMBARDIA;LOMBARDIA - 05;4;CANEPARO MARIA 
NOI CON L'ITALIA - UDC;MARCHE;MARCHE - 01;1;CAMPANELLI TABLINO 
NOI CON L'ITALIA - UDC;MARCHE;MARCHE - 01;2;VURCHIO STEFANIA 
NOI CON L'ITALIA - UDC;MARCHE;MARCHE - 01;3;LIPPI LEONARDO 
